"","cell_ID","L4_5 IT CTX","L2_3 IT CTX","L5 NP CTX","Sst Chodl","Car3","L6 CT CTX","Sst","L5_6 IT CTX","L6 IT CTX","Pvalb","Lamp5","DG","L2_3 IT RSPv","L6b_CT ENT","L4 RSP-ACA","Vip","L5 PT CTX","L5 IT CTX","Oligo","L2_3 IT RSP","CA1-ProS","Micro-PVM","Sncg","L2 IT ENTl","SUB-ProS","L2_3 IT APr","NP PPP","L2_3 IT PPP","L3 IT ENTm","L6b CTX","Astro","NP SUB","CA1","L3 IT ENTl","L2_3 IT ENTl","CT SUB","L2_3 IT HATA","Lamp5 Lhx6","Endo","L6 IT ENTl","L5 IT TPE-ENT","Meis2 HPF","L2 IT PAR","L5 NP CT CTX ","L5 PPP","Pax6","Ndnf HPF","L2 IT ENTm","CA3","L2_3 IT ProS","CA2-IG-FC","SUB","SMC-Peri","CR"
"11","10",0,0,0,0,0,0,0,0,0,0,0.239011861257873,0,0,0,0,0,0,0,0,0.259207308614768,0,0,0,0,0,0,0,0,0,0.0194038340904397,0.436022419463393,0,0,0,0,0,0,0,0,0,0.0463545765735262,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","11",0,0,0,0,0,0,0,0.347070032668142,0,0,0,0,0,0,2.79935733774478e-18,0.21666925696667,0,0,0,0.310725709098045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125535001267143,0,0,0,0,0,0,0,0,0,0,0,0,-4.64513495981555e-20
"13","12",0,0,0,0,0,0,7.93988721840903e-18,0,0,0.000182170235139808,0,0,0,0,1.31738417075097e-19,0.453186870529108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887116314657008,0,0,0,0,0,0,0,0,0,0,0.328682073853532,0,0,0,0,0,0.119584602077431,0,0,0,0,0,0,0.00965265183908917
"14","13",0,0,0,0,0,0,0,0,0,0,0.00146601836764375,0,0,0,0.000368897547719219,0,0,0,0,0.455021283891041,0,0,0.0572983756451819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18884542376092,0,0,0,0,0.12131335998545,0.162871782942801,0,0,0,0,0.0128148578592435,0,0
"15","14",0,0,0,0,0,0,0,0.268248830365974,0,0,0,0,0,0,-5.17075995923278e-18,0.392205847217823,0,0,0,0.281080031171397,0,0,0,0,0,0,0,0,0,-2.70991587984633e-19,0,0,0,0,0,0,0,0,0,0,0.0584652912448057,0,0,0,0,0,0,0,0,0,0,0,0,-1.45227170493965e-18
"16","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218467741149808,0.171146131718812,0,0,0,0.413818763778467,3.01483074376637e-18,0,0,0,0,0,0,0,0,0,0,0,0.132987116996517,0,0,0,0,0,0,0,0.279848423692774,0,0,0,0,0,0,0,0,0,0,1.25641682432996e-18,0,1.48864019325102e-05
"17","16",0,0,0,0,0,0,0.216941645349822,0.480969020315229,0,0,0,0,0,0,-2.75635997403402e-19,0,0,0,0,0.260531716238202,0,0,0,0,0,0,0,0,0,0.00196587209682561,0,0,0,0,0,0,0,0,0,0,0.0395917459999213,0,0,0,0,0,0,0,0,0,0,0,0,7.34065283367082e-19
"18","17",0,0,0.440845486708217,0,0,0,0,0,0,0.150641423043606,0,0,0,0,0.127073660809054,0.167809783873878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246204360010756,0.0738891755011922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372784264639466
"19","18",0,0,0.0679711031537443,0,0,0,0,-7.8660579902511e-20,0,0,0.18123445078749,0,0,0,0.0250899331001353,0,0,0.246511400202786,0,-4.01520294773419e-19,0,0,0.0820905441403582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000853467107472404,0,0,0,0,0,0.396249101508015,0,0,0,0,0,0,-2.69715744735721e-19
"20","19",0,0,0.169973374276552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580324194145589,0,0,0,0,0,0,0,0,0,0.107184168805809,0.435617730142731,0,0,0,0,0,0,0,0,0,0.184075368706794,0,0,0,0,0,0,0,0,0,0,0.0451169386535549,0,0
"21","20",0,0,0,0,0,0,0.496110133690214,0,0,0,0.00222829769939858,0,0,0,1.55068516572699e-20,0,0,0,0,0,0,0,0.0622267422801119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434268648033374,0,0,0,0,0,0,0,0,0,0,0,0,0.00516617829690135
"22","21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467536128480603,0,0,0.421924659894541,0,0,0,0,0,0,0,0,0,0,0.110539211624856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","22",0,0,0.496446219382353,0,0,0.020228259798908,0,0.367034252971867,0,0,0,0,0,0,1.04373978678993e-19,0,0,0,0,0.0564525033291786,0,0,0,0,0,0,0,0,0,0.0223405922478334,0,0,0.0374948913224057,0,0,0,0,0,0,0,3.28094745483369e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","23",0,0,0,0,0,0,4.01042375485623e-21,0,0,0,0,0,0,0,0.0365947408210412,0,0,0,0,0.430763170441877,0,0,0,0,0,0,0,0,0,0.0283027842690565,0,0,0,0,0,0,0,0,0.0257199297171562,0,0.383435058763593,0,0,0,0,0,0,0,0,0,0,0,0.0501434769766074,0.0450408390106688
"25","24",0,0,0,0,0,0,0,0.243848233705808,0,0,0,0,0,0,0,0,0,0,0.332534174417972,0.282185236227574,0,0,0,0,0,0,0,0,0,0.141432355648645,0,0,0,0,0,0,0,0,0,0,7.74999907634471e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","25",0,0,0,0,0,0.142259169257204,0,0.0912272018851361,0,0,0.310036927921475,0,0,0,0.00224700695109343,0,0,0.0068570956050512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44737259838004,0,0,0,0,0,0,-2.99775060413283e-20
"27","26",0,0,0,0,0.354404504665155,0,0,0,0,0,0,0,0,0,0.0138279415225465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631767553812299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","27",0,0.00302228523919241,0,0,0,0,0,0,0,0.441970378517258,0,0,0,0,0,0,0,0,0,0.364071391641321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190935944602229,0,0,0,0,0,0,0,0,0,0,0,0,-1.43782830023747e-19
"29","28",0,0,0,0,0,0,0,0,0,0.436986553349546,0.470643762286426,0,0,0,0.0364642291972932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427635823097056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131418728570296
"30","29",2.68444961066114e-18,0,0,0,0,0,0,0,0,0,0.250991851733961,0,0,0,0.0188925352467389,0,0,0,0,0.338705031475469,0,0,3.81151756777506e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388790374267583,0,0,0,0,0,0,0.00258209210057096
"31","30",0,0,0,0,0,0,0.318106216456769,0.274675578929685,0,0,0,0,0,0,-2.34822937529188e-19,0,0,0,0,0.407218204613545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01036291780153e-19
"32","31",0.188727612869376,0,0,0.0243585078499381,0,0,0,0,0,0,0.514624014238349,0,0,0,0.0602743846688683,0,0,0.000642339849062533,0,0.211373140524406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","32",0,0,0,0,0,0.0575901142682439,0,0.0848497720004084,0,0,0.0357084262739166,0,0,0,0.000163235882742297,0,0,0.100485023195763,0,0.504280986454754,0,0,0,0,0,0,0,0,0,0.216922441924172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13775197904837e-20
"34","33",0.307736494584357,0,0,0,0,0,0,0.403687907835111,0,0,0,0,0,0,-1.15907509541783e-18,0,0,0.288575597580533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5410373446843e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","34",0,0,0,0,0,0,0,0,0,0.761313372511184,0,0,0,0,1.18065305412529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904496652029188,0,0,0,0,0,0,0,0.143864664053504,0,0,0,0,0,0,0,0,0,0,0,0,0.00436049170185118
"36","35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449616333820806,0,0,0,0.265529006326259,0,0.227040775756337,1.30161310426946e-18,0,0,0,0,0,0,-8.85389447072019e-19,0,0,0,0,0,0,0,0,0,0,0.0574872712930692,0,0,0,0,0,0,0,0,0,0,0,0,0.000326612803528665
"37","36",0,0,0,0.0498804208081878,0,0,0.220274230945421,0,0,0,0,0,0,0,0.00173495432330254,0.279432023999031,0,0,0,0,0,0,-2.38569472377704e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445752985662157,0,0,0,0,0,0,0,0,0,0,0,0,0.0029253842619003
"38","37",0,0,0,0.0552295228806129,0,0,0.161442771691326,0,0,0,0,0,0,0,0.00191699405430925,0.232776288974729,0,0,0,0.0635731360565744,0,0,0,0,0,0,0,0,0,1.39744396910591e-18,0,0,0,0,0,0,0,0,0,0,0.429919694449994,0,0,0,0,0,0,0,0,0,0,0,0,0.0551415918924537
"39","38",0,0,0,0.0019924472609081,0,0,0.337040678314091,0,0,0,0,0,0,0,-1.31566732052944e-18,0.388042511259243,0,0,0,-9.84282638929154e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016047820324313,0,0.241946599864958,0,0,0,0,0,0,0,0,0,0,0,0,0.0149299429764876
"40","39",0.343789989148113,0,0,0,0,0.164240280267799,0,0.208934733667297,0,0,0,0,0,0,3.65573740656783e-05,0,0,0.123887084387802,0,0.00908823242856022,0,0,0,0,0,0,0.0578618598228906,0,0,0.0921612629034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617371189535849,0,0,0,0,0,0,0.0105688777889749,0,0,0,0,0,0,0.0019883384483916,0,0,0,0,0,0,0,0,0,0,0.36967069787163,0,0,0,0,0,0,0,0,0,0,0,0,0.000400896355154718
"42","41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92611280403714e-18,0.523887506148151,0,0,0,0.213119669334,0,0,0,0,0,0,0,0,0,0.0521474548423238,0,0,0,0,0,0,0,0,0,0,0.210760173107401,0,0,0,0,0,0,0,0,0,0,0,0,8.51965681243324e-05
"43","42",0,0,0,0.0296502962901906,0,0,0,0,0,0,0.190869598273755,0,0,0,2.10787716433123e-19,0.514925521467957,0,0,0,0.0595778226605564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204907170438807,0,0,0,0,0,0,0,0,0,0,0,0,6.95908687339882e-05
"44","43",0,0,0.0151812474474723,0,0,0,0,0,0,0,0,0,0,0,0.00339634932069173,0.379360968782133,0,0,0,0.253314557441005,0,0,0,0,0,0,0,0,0,0.187224980365405,0,0,0,0,0,0,0,0,0,0,0.157205268256918,0,0,0,0,0,0,0,0,0,0,0,0,0.00431662838637422
"45","44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219658633147804,0,0,0,0.0432267640363244,0,0,0,0,0,0,0,0,0,0.000669807667395965,0,0,0,0,0,0,0,0,0,0,0.73571611816034,0,0,0,0,0,0,0,0,0,0,0,0,0.000728676988135474
"46","45",0,0,0,0,0,0,0,0,0,0.437962403898698,0.357117107906869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822551180811256,0,0,0,0,0,0,0,0,0,0.107595859341649,0,0,0,0,0.0150695107716594
"47","46",0,0,0,0,0,0,0,0.497143527143024,0,0,0,0,0,0,0,0.293649151571108,0,0,0,0,0,0,0.0118550378511624,0,0,0,0,0,0,0,0.196316715641646,0,0,0,0,0,0,0,0,0,0.00103556779305944,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","47",0.229352572168873,0,0,0,0,0,0,0.46721937612398,0,0,0,0,0,0,0,0,0,0,0,1.06853215719021e-19,0,0,0,0,0,0,0,0,0,0,0.303428051707147,0,0,0,0,0,0,0,0,0,6.91034011944014e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","48",0,0,0,0,0,0,0,0.399902035471069,0,0,0,0.0514652122282489,0,0,1.75447331269297e-20,0,0,0.444481725208805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86105672659803e-17,0,0,0,0,0,0,0,0.104151027091877,0,0,0,0,0
"50","49",0,0,0,0,0,0,0.108241534170576,0,0,0.655658459746878,0,0,0,0,4.21103666690207e-05,0,0,0,0,0.205895612878953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301622828369233
"51","50",0,0,0,0,0,0,0,0.400576801362955,0,0,0,0,0,0,0.0323180090656866,0,0,0,0.0650357038569086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50180007899846,0,0,0,0,0,0,0,0.00026133178241788,0,0,0,0,8.07493357139587e-06
"52","51",0.301716909092826,0,0,0,0,0,0,0.289360944372079,0,0,0,0,0,0,-2.14568432203246e-19,0,0,0.150772641344729,0,0,0,0,0,0,0,0,0,0,0,0.258136688708774,0,0,0,0,0,0,0,0,0,0,1.28164815916999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","52",0,0,0,0,0,0,0,0.430722735368281,0,0,0,0,0,0,-1.79626507004227e-19,0.368035879680936,0,0,0,0.201241384950782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91967477684626e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.00302404955836e-18
"54","53",0,0,0,0,0,0.0879991869134904,0,0,0,0,0,0,0,0,3.68603318122092e-19,0,0,0.295951830847714,0,0.480917950617466,0,0,0,0,0,0,0,0,0,0,0,0,0.100855779118516,0,0,0,0,0,0,0,0.0142605438093895,0,0.0200147086934245,0,0,0,0,0,0,0,0,0,0,0
"55","54",0,0,0,0,0,0,0,0,0,0.207895623495574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734990398189779,0,0,0.0423609842258678,0,0,0,0,0,0,0,0.0106989618464197,0,0,0,0,0,0,0,0,0,0,0.00405403224235941,0,0
"56","55",0,0,0,0,0,0,0,0.179488096979472,0,0,0,0,0,0,9.02377616343161e-19,0,0.820126590969898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385312050630318,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","56",0.443935221320937,0,0,0,0,0,0,0.341234342688822,0,0,0,0,0,0,0.00299355619601278,0,0,0,0,0.0726606093639977,0,0,0,0,0,0,0,0,0.000246003079360884,0,0,0,0,0.136167050074423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276321727644701,0,0
"58","57",0,0,0,0,0,0,0,0.233441318652383,0,0,0,0,0,0,5.37140918262654e-19,0,0,0.251375495279567,0,0.153008795095529,0,0,0.0563056990755999,0,0,0,0,0,0,0,0,0,0.0955935913331285,0,0,0,0,0,0,0,0.210275100563793,0,0,0,0,0,0,0,0,0,0,-9.51936746170203e-21,0,0
"59","58",0,0,0,0.00720565124293783,0,0,0,0.0182536378944612,0,0.823007638639869,0,0,0,0,0.0460794598252404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10541387974414,0,0,0,0,0,0,0,0,0,0,0,0,3.97326533518505e-05
"60","59",0,0,0,0,0,0.0565769007431918,0,0.943420833221433,1.04892592274656e-17,0,0,0,0,0,2.26603537537008e-06,0,0,0,0,-8.30179500817325e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12656495651735e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444729172970784,0,0,0,0.229721980017186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324712894507485,0,0,0,0,0,0,0,0,0,0,0,0,0.000835952504544765
"62","61",0,0,0,0,0,0,7.85954240860546e-19,0,0,0,0,0,0,0,0.0892150028454521,0.159094410842052,0,0,0,0.138681465320162,0,0,0,0,0,0,0,0,0,0.00454028237919332,0,0,0,0,0,0,0,0,0,0,0.506911498747563,0,0,0,0,0,0.100601534660809,0,0,0,0,0,0,0.000955805204769198
"63","62",0,0,0,0,0,0.0830715150203889,0,0.0795860883221657,0,0,0.396041453349273,0,0,0,-3.01135842084899e-19,0,0,0,0,0.355039411270945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862615320372273,0,0,0,0,0,0,0,0,0,0,0,0,5.45843976676423e-20
"64","63",0,7.32880051021288e-18,0,0,0,0,0,0.478673296923961,0,0,0,0,0,0,1.69531068134531e-20,0,0,0,0,0.101327539056641,0,0,0,0,0,0,0,0,0,0.404846231825582,0,0,0,0,0,0,0,0,0,0,-1.223601829432e-19,0,0.0151529321938149,0,0,0,0,0,0,0,0,0,0,0
"65","64",0.148145431486899,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33106070709474e-05,0,0,0.753924740669479,0,0.0819104702207066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015986047015845,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","65",0,0.304256496089799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454804506357975,0,0,0,0,0,0,0,0,0,0.240817726741502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121270810724714
"67","66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34286078372141e-18,0.668501984812098,0,0,0,0,0,0,-6.96332819640845e-18,0,0,0,0,0,0,0.1151540038375,0,0,0,0,0,0,0,0,0,0,0.215407084257065,0,0,0,0,0,7.92292747526412e-05,0,0,0,0,0,0,0.000857697818583902
"68","67",0,0,0,0,0,0,0,0.528118209981125,0,0,0.416816772311396,0,0,0,0.00281969529440617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522453224130728,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","68",0,0,0,0,0,0,0,0,0.299314736379702,0.310709063642207,0,0,0,0,0.0576057972020573,0.270042029384157,0,0,0,0,0.0127053747654663,0,-8.63773025340339e-20,0,0,0,0,0,0,3.51580367515397e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049622998626411
"70","69",0.416598572178195,0,0,0,0,0,0,2.69823650296004e-18,0,0,0,0,0,0,0,0,0,0.0471501638872647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48708226989964,0,0,0,0,0,0,0,0,0,0.0491689940349001,0,0,0
"71","70",0,0,0,0,0.080643590529444,0,0,0.396199983593915,0.000602488531420076,0,0,0,0,0,0.00684531334887516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515708623996346,0,0,0,0,0,0,0,0,0,0,0,0,-2.44675658706319e-19
"72","71",0,0,0,0,0,0,0,0.0365063961266447,0,0,0,0,0,0,-4.91720775654757e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868023709952615,0,0,0.060408615257867,0,0,0,0,0,0,0,0.00455312264440658,0,0.0305081560184672,0,0,0,0,0,0,0,0,0,0,0
"73","72",0,0,0,0.0261351234889336,0,0,0,0,0,0,0.0762218806145649,0,0,0,0,0.366095152852869,0,0,0,1.72715816756603e-17,0,0,0.000455351432431548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528957878934827,0,0,0,0,0,0,0,0,0,0,0,0,0.00213461267637348
"74","73",0,0,0,0.250861268856106,0,0,0,0.35986605400405,0,0,0,0,0,0,0.000172867380382085,0,0,0,0,0.22793015370696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158827137380864,0,0,0,0,0,0,0,0,0,0,0,0,0.00234251867163662
"75","74",0,0,0,0,0,0,0.32427557289049,0,0,0.189940171110517,0,0,0,0,1.99293689746641e-20,0,0,0.281241308485831,0,0.198771055673856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577189183930523,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","75",0.010056088352015,0,0,0,0,0,0,0,0,0.195061810527747,0,0,0,0,0,0,0,0,0,0.419841518448511,0,0,0,0,0,0,0,0,0,0,0.374867846099778,0,0,0,0,0,0,0,0,0,0.000172736571948686,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","76",0,-1.82116171626496e-17,0,0.069634299540561,0,0,0.340300810020088,0,0,0,0,0,0,0,0,0.184237942386415,0,0,0,0.0539274596335388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168521871976335,0,0.327176696930702,0,0,0,0,0,0,0,0,0,0,0,0,0.00787060429106241
"78","77",0,0,0,0,0,0.127899330548555,0,0,0,0,0.231535411773361,0,0,0,-1.26908428288027e-18,0,0.15398332597046,0,0,0.436984853967405,0,0,0,0,0,0,0,0,0,0.0479527974639839,0,0,0,0,0,0,0,0,0,0,0.00136787946819818,0,0,0,0,0,0,0,0,0,0,0,0,0.000276400808036407
"79","78",0,0.219103492885143,0,0,0,0.0907771099343719,0,0.0251077127636743,0,0,0,0.0201497078487095,0,0,-7.92711585729547e-20,0,0,0,0,0.49197502144701,0,0,0,0,0,0,0,0,0,0,0,0,0.0104389537235022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650376989496851,0,0.0708655996832448,0,0,0.00654470276465912
"80","79",0,0,0,0,0,0,0.148114366471821,0,0,0,0.203397531736259,0,0,0,0.00927853036441101,0,0,0.201122106810336,0,0.27923660855516,0,0,0,0,0,0,0,0,0,0.00800975102411621,0,0,0,0,0,0,0,0,0,0,0.00485553971032617,0,0,0,0,0,0.145985565327572,0,0,0,0,0,0,6.23690616823719e-19
"81","80",0,0,0,0,0,0.0742068954811946,0,0.146814515665365,0,0,0,0,0,0,4.36154301247114e-20,0,0.37045433589406,0,0,0.343565798579643,0,0,0,0,0,0,0,0,0,0.058579633105185,0,0,0,0,0,0,0,0,0,0,5.37444995663751e-22,0,0,0,0,0,0,0,0,0,0,0.00637882127455174,0,0
"82","81",0,0,0,0,0.0723400304226951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064478207596975,0,0,0,0,0,0,0,0,0,0.769227534562542,0,0,0.0884786323792439,0,0,0,0,0,0,0,0.00547559503854412,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","82",0,0,0.252261378628578,0,0,0.209956767361248,0,0,0,0,0,0,0,0,9.39352765383178e-06,0,0.127684994020097,0,0,0.302781520714696,0,0,0,0,0,0,0,0,0,0.0295263648241506,0,0,0.0771767916503762,0,0,0,0,0,0,0,0.000602789273201381,0,0,0,0,0,0,0,0,0,0,0,0,0
